Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,1.3333,0.7578,79.28,86.19
2,0.7225,0.5647,87.5,91.62
3,0.5658,0.4649,91.78,94.38
4,0.4732,0.3894,94.15,96.11
5,0.4067,0.3405,95.77,96.44
6,0.3609,0.2963,96.65,97.64
7,0.3185,0.2548,97.38,97.9
8,0.2843,0.2428,97.79,97.83
9,0.2604,0.2091,98.07,98.51
10,0.2424,0.2087,98.22,98.26
11,0.2151,0.1776,98.7,99.06
12,0.2071,0.1756,98.75,98.93
13,0.1934,0.1811,98.83,99.27
14,0.1844,0.1562,98.84,98.88
15,0.1642,0.1344,99.18,99.37
16,0.1609,0.1305,99.12,99.46
17,0.1489,0.1332,99.26,99.51
18,0.1486,0.1186,99.22,99.56
19,0.1398,0.1226,99.32,99.64
20,0.1331,0.1042,99.43,99.57
21,0.1251,0.1063,99.38,99.75
22,0.1189,0.1014,99.54,99.75
23,0.119,0.0949,99.42,99.73
24,0.113,0.098,99.5,99.54
